Sec,tion 1,—Summary t,ables a,nd appendices,,,,12,,,,Publ,ic Accounts o,f,Canada,2,024–2025
,,,,,,,,,,,,,,,,,
Tab,le 2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Min,ister,ial expenditur,es by t,ype,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tab,le 2 pr,esents the net ex,penditu,res by type for each ministry.,"The """,Total ministeri,al net expen,"ditures"" column",presen,ts the total ne,t expenditure,s reported for e,ach ministry in,th,e ministe,r,ial sections
of th,is vol,ume.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tab,le 2a r,econciles total,ministeri,al net expenditures with exter,nal ex,penses reporte,d in Table,1 of this section,and in,the Consolid,ated Statemen,t of Operations,and Accumula,te,d Deficit,i,n Section 2
of V,olume,I.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
(in th,ousan,ds of dollars),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Transfer paym,ents 1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Old age,,,,,,,Total,,Pu,blic,,Total
,,,,,security,Canada hea,lth Canada,social Fiscal,,Quebec,,transfer,Other,de,bt,m,inisterial net
Sec,tion,Department or agenc,y,b,enefits,2 transfer,trans,fer arrangeme,nts,abatement,Other 3,payments ex,penditures,cha,rges,,expenditures
,,,,,,,,,,,,,,,,,
,2,Agriculture and Ag,ri-Food,,,,,,,,,,,,,,
,,Department of Agric,ulture and,Agri-Food...............................,,–,–,–,–,–,"3,158,421","3,158,421","872,080",,–,,"4,030,501"
,,Canadian Dairy Com,mission..,.................................................,,–,–,–,–,–,–,–,"5,149",,–,,"5,149"
,,Canadian Grain Com,mission..,.................................................,,–,–,–,–,–,–,–,"16,885",,–,,"16,885"
,,,,,,,,,,,,,,,,,
,,Total Ministry .......,................,.................................................,,–,–,–,–,–,"3,158,421","3,158,421","894,114",,–,,"4,052,535"
,,,,,,,,,,,,,,,,,
,4,Canadian Heritage,4,,,,,,,,,,,,,,
,,Department of Cana,dian Herita,ge............................................,,–,–,–,–,–,"1,859,295","1,859,295","281,355",,–,,"2,140,650"
,,Canada Council for t,he Arts....,.................................................,,–,–,–,–,–,–,–,"364,283",,–,,"364,283"
,,Canadian Broadcasti,ng Corpor,ation.........................................,,–,–,–,–,–,–,–,"1,425,238",,–,,"1,425,238"
,,Canadian Museum f,or Human,Rights......................................,,–,–,–,–,–,–,–,"28,590",,–,,"28,590"
,,Canadian Museum o,f History.,.................................................,,–,–,–,–,–,–,–,"83,227",,–,,"83,227"
,,Canadian Museum o,f Immigra,tion at Pier 21...........................,,–,–,–,–,–,–,–,"10,024",,–,,"10,024"
,,Canadian Museum o,f Nature...,.................................................,,–,–,–,–,–,–,–,"36,378",,–,,"36,378"
,,Canadian Race Rela,tions Foun,dation.......................................,,–,–,–,–,–,–,–,"12,092",,–,,"12,092"
,,Canadian Radio-tele,vision and,Telecommunications,,,,,,,,,,,,,
,,Commission......,................,.................................................,,–,–,–,–,–,–,–,"21,269",,–,,"21,269"
,,Library and Archive,s of Canad,a..............................................,,–,–,–,–,–,"2,656","2,656","204,352",,"5,365",,"212,373"
,,National Arts Centre,Corporati,on............................................,,–,–,–,–,–,–,–,"59,525",,–,,"59,525"
,,National Film Board,...............,.................................................,,–,–,–,–,–,–,–,"82,475",,–,,"82,475"
,,National Gallery of,Canada.....,.................................................,,–,–,–,–,–,–,–,"50,021",,–,,"50,021"
,,National Museum of,Science a,nd Technology.........................,,–,–,–,–,–,–,–,"38,441",,–,,"38,441"
,,Telefilm Canada......,................,.................................................,,–,–,–,–,–,–,–,"158,302",,–,,"158,302"
,,The National Battlef,ields Com,mission.....................................,,–,–,–,–,–,–,–,"18,928",,–,,"18,928"
,,,,,,,,,,,,,,,,,
,,Total Ministry .......,................,.................................................,,–,–,–,–,–,"1,861,951","1,861,951","2,874,500",,"5,365",,"4,741,816"
,,,,,,,,,,,,,,,,,
,5,Crown-Indigenous,Relations,and Northern Affairs,,,,,,,,,,,,,
,,Department of Crow,n-Indigen,ous Relations and Northern,,,,,,,,,,,,,
,,Affairs...............,................,.................................................,,–,–,–,–,–,"11,906,281","11,906,281","2,343,370",,–,,"14,249,651"
,,Canadian High Arcti,c Researc,h Station...................................,,–,–,–,–,–,"8,075","8,075","28,392",,–,,"36,467"
,,,,,,,,,,,,,,,,,
,,Total Ministry .......,................,.................................................,,–,–,–,–,–,"11,914,356","11,914,356","2,371,762",,–,,"14,286,118"
